rotten_tomatoes_link;movie_title;content_rating;genre;directors;original_release_date;streaming_release_date;runtime;production_company;audience_rating;audience_count
m/1029895-goodbye_mr_chips;Goodbye, Mr. Chips;G;DRAMA;Herbert Ross;11/05/1969;3/27/2016;151;MGM;71;636
m/102_dalmatians;102 Dalmatians;G;COMEDY;Kevin Lima;11/22/2000;07/12/2016;100;Buena Vista Pictures;32;406533
m/1030142-champ;The Champ;NR;DRAMA;King Vidor;11/21/1931;01/04/2017;86;MGM;74;617
m/1030146-narrow_margin;Narrow Margin;R;ACTION & ADVENTURE;Peter Hyams;9/21/1990;10/08/2016;97;Live Home Video;50;2812
m/1030244-red_dust;Red Dust;NR;DRAMA;Victor Fleming;01/01/1932;11/27/2013;83;MGM;78;967
m/1030864-desperate_hours;Desperate Hours;R;DRAMA;Michael Cimino;10/05/1990;06/01/2017;106;Metro Goldwyn Mayer;23;3280
m/1031086-ghost;Ghost;PG-13;COMEDY;Jerry Zucker;7/13/1990;08/01/2013;127;Paramount Pictures;80;469588
m/1031087-memphis_belle;Memphis Belle;PG-13;ACTION & ADVENTURE;Michael Caton-Jones;09/07/1990;06/01/2009;108;MVD Music Video;79;29775
m/1031274-faust;Faust;NR;HORROR;F.W. Murnau;12/05/1926;5/22/2017;117;MGM;91;5580
m/1031278-gun_crazy;Gun Crazy (Deadly Is the Female);R;ACTION & ADVENTURE;Joseph H. Lewis;1/20/1950;11/21/2016;87;United Artists;84;3263
m/1031385-jungle_book;The Jungle Book;PG;ACTION & ADVENTURE;Wolfgang Reitherman;10/18/1967;08/10/2016;78;Buena Vista Pictures;82;715040
m/1031440-long_goodbye;The Long Goodbye;R;DRAMA;Robert Altman;03/07/1973;4/18/2017;112;United Artists;88;10294
m/1031458-houdini;Houdini;NR;DRAMA;George Marshall;07/02/1953;08/10/2016;106;Paramount Home Video;59;620
m/1031472-avalon;Avalon;PG;DRAMA;Barry Levinson;10/05/1990;4/19/2013;126;Sony Pictures Home Entertainment;77;3236
m/1031635-rookie;The Rookie;R;ACTION & ADVENTURE;Clint Eastwood;12/07/1990;01/01/2009;121;Warner Home Video;36;20594
m/1031744-long_walk_home;The Long Walk Home;PG;DRAMA;Richard Pearce;12/21/1990;10/08/2016;97;Miramax;84;5412
m/1031763-anastasia;Anastasia;NR;DRAMA;Anatole Litvak;12/13/1956;11/25/2015;105;20th Century Fox;78;13705
m/1031766-jane_eyre;Jane Eyre;R;DRAMA;Robert Stevenson;02/03/1944;10/27/2015;96;RKO Pictures;83;5836
m/1031984-pit_and_the_pendulum;The Pit and the Pendulum;R;HORROR;Stuart Gordon;6/27/1991;11/30/2016;97;MGM;39;2249
m/1032176-goodfellas;GoodFellas;R;DRAMA;Martin Scorsese;9/19/1990;8/15/2008;146;Warner Bros.;97;429632
m/1032180-after_hours;After Hours;R;COMEDY;Martin Scorsese;9/13/1985;05/01/2008;97;Warner Bros. Pictures;87;22165
m/1032182-white_fang;White Fang;PG;ACTION & ADVENTURE;Randal Kleiser;1/18/1991;07/08/2016;109;Buena Vista Pictures;63;39910
m/1032409-boy_meets_girl;Boy Meets Girl (1984);R;DRAMA;Leos Carax;11/21/1984;02/10/2017;100;Franco London Films;73;672
m/1032518-mata_hari;Mata Hari;NR;ACTION & ADVENTURE;George Fitzmaurice;06/01/1932;11/21/2016;91;MGM Home Entertainment;55;1349
m/1032522-alice;Alice;PG-13;COMEDY;Woody Allen;12/25/1990;12/02/2016;106;MGM Pictures, Inc.;57;6869
m/1032750-hidden_agenda;Hidden Agenda;R;DRAMA;Ken Loach;09/11/1990;05/01/2017;108;HBO Video;72;771
m/1032795-connection;The Connection;NR;DRAMA;Shirley Clarke;;11/20/2016;110;Films Around the World;79;126
m/1032798-entertainer;The Entertainer;NR;DRAMA;Tony Richardson;01/01/1960;9/29/2016;97;Continental;73;1166
m/1032814-sorry_wrong_number;Sorry, Wrong Number;NR;DRAMA;Anatole Litvak;09/01/1948;1/13/2017;89;Paramount Pictures;78;4899
m/1032970-awakenings;Awakenings;PG-13;DRAMA;Penny Marshall;12/19/1990;4/16/2012;121;Columbia Pictures;89;55182
m/1033465-true_colors;True Colors;R;DRAMA;Herbert Ross;3/15/1991;08/01/2013;112;Paramount Home Video;45;4945
m/1034067-switch;Switch;R;COMEDY;Blake Edwards;05/10/1991;10/01/2016;104;HBO Video;43;6961
m/1034131-field;The Field;PG-13;DRAMA;Jim Sheridan;01/01/1990;2/26/2002;107;Live Home Video;81;2808
m/1034151-oscar;Oscar;PG;COMEDY;John Landis;4/26/1991;03/04/2016;109;Touchstone Pictures;63;21122
m/1035050-night_nurse;Night Nurse;NR;DRAMA;William Wellman, Igor Auzins;08/08/1931;11/21/2016;72;Warner Bros. Pictures;73;918
m/1035061-fury;Fury;NR;DRAMA;Fritz Lang;5/29/1936;4/16/2012;90;WARNER BROTHERS PICTURES;89;3092
m/1035065-possessed;Possessed;NR;DRAMA;Clarence Brown, Curtis Bernhardt;7/26/1947;08/11/2016;108;Warner Bros. Pictures;76;1238
m/1035316-born_to_kill;Born to Kill;NR;DRAMA;Robert Wise;01/01/1947;5/23/2016;92;WARNER BROTHERS PICTURES;75;651
m/1035639-toy_soldiers;Toy Soldiers;R;ACTION & ADVENTURE;Daniel Petrie Sr., Daniel Petry, Daniel Petrie Jr.;4/26/1991;4/16/2012;112;Sony Pictures Home Entertainment;66;39419
m/1036052-come_and_see;Come and See (Idi i smotri);NR;DRAMA;Elem Klimov;10/17/1985;1/28/2015;142;Kino International;95;8575
m/1036129-miracle;The Miracle;PG;DRAMA;Neil Jordan;06/01/1991;;96;Live Home Video;62;102
m/1036179-hot_shots;Hot Shots!;PG-13;COMEDY;Jim Abrahams;7/31/1991;11/25/2015;85;Twentieth Century Fox Home Entertainment;65;157638
m/1036458-dogfight;Dogfight;R;DRAMA;Nancy Savoca;9/13/1991;4/16/2012;95;Warner Home Video;87;7696
m/1036553-hitman;The Hitman;R;ACTION & ADVENTURE;Aaron Norris;10/25/1991;06/01/2012;95;Cannon Home Video;45;5277
m/1036653-teachers_pet;Teacher's Pet;NR;COMEDY;George Seaton;04/01/1958;01/11/2016;120;Paramount Home Video;71;3154
m/1036952-shattered;Shattered;R;DRAMA;Wolfgang Petersen;10/11/1991;08/02/2016;98;MGM Home Entertainment;56;4371
m/1036976-romeo_and_juliet;Romeo and Juliet;NR;DRAMA;George Cukor;09/03/1936;11/21/2016;126;MGM;50;6
m/1037015-doctor;The Doctor;PG-13;DRAMA;Randa Haines;7/24/1991;2/19/2016;125;Touchstone Pictures;72;3351
m/1037017-paradise;Paradise;PG-13;DRAMA;Mary Agnes Donoghue;9/18/1991;08/10/2016;111;Touchstone Pictures;50;3747
m/1037024-commitments;The Commitments;R;COMEDY;Alan Parker;8/14/1991;3/18/2017;117;20th Century Fox Film Corporation;90;28391
m/1037161-frankie_and_johnny;Frankie & Johnny;R;COMEDY;Garry Marshall;10/11/1991;08/10/2016;118;Paramount Home Video;67;21617
m/1037177-deceived;Deceived;PG-13;DRAMA;Damian Harris, Damien Harris;9/27/1991;03/06/2016;103;Buena Vista Pictures;42;3744
m/1037244-star;The Star;NR;DRAMA;Stuart Heisler;12/11/1952;7/24/2012;89;20th Century Fox Film Corporation;60;1288
m/1037447-poison;Poison;NC17;DRAMA;Todd Haynes;04/05/1991;3/13/2017;86;Zeitgeist Films;68;1906
m/1037581-cape_fear;Cape Fear;R;DRAMA;Martin Scorsese;11/13/1991;4/19/2016;128;MCA/Universal Pictures;77;68798
m/1037599-voyager;Homo Faber (Voyager);PG-13;DRAMA;Volker SchlÃ¶ndorff;2/21/1991;03/12/2020;117;Academy Entertainment;72;552
m/1037649-my_girl;My Girl;PG-13;COMEDY;Howard Zieff;11/27/1991;4/16/2012;102;Sony Pictures Home Entertainment;77;394678
m/1037756-jfk;JFK;R;DRAMA;Oliver Stone;12/20/1991;12/26/2008;189;Warner Bros.;88;62583
m/1037780-man_in_the_moon;The Man in the Moon;PG-13;DRAMA;Robert Mulligan;8/30/1991;01/01/2017;99;MGM;85;33335
m/1037786-prize;The Prize;NR;ACTION & ADVENTURE;Mark Robson;01/01/1963;4/16/2012;136;MGM;68;730
m/1037789-train;The Train;NR;ACTION & ADVENTURE;Jayaraaj;03/07/1965;1/24/2017;133;United Artists;89;4291
m/1037864-father_of_the_bride;Father of the Bride;PG;COMEDY;Charles Shyer;01/01/1991;6/13/2017;105;Touchstone Pictures;70;375160
m/1038009-rush;Rush;R;ACTION & ADVENTURE;Lili Fini Zanuck;12/22/1991;4/15/2017;120;MGM;72;8370
m/1038176-medicine_man;Medicine Man;PG-13;DRAMA;John McTiernan;02/07/1992;03/04/2016;106;Hollywood Pictures;46;37447
m/1038237-platinum_blonde;Platinum Blonde;NR;COMEDY;Frank Capra;10/31/1931;5/14/2014;90;Columbia Pictures;66;1078
m/1038526-uninvited;The Uninvited;NR;HORROR;Lewis Allen;02/10/1944;03/10/2017;98;MCA Universal Home Video;81;2702
m/1038613-italian_job;The Italian Job;G;ACTION & ADVENTURE;Peter Collinson;01/01/1969;08/01/2013;101;Paramount Pictures;86;71135
m/1038726-beethoven;Beethoven;PG;COMEDY;Brian Levant;04/03/1992;6/15/2012;88;Universal Pictures;35;432362
m/1038770-high_heels;Tacones Lejanos (High Heels);R;COMEDY;Pedro AlmodÃ³var;10/23/1991;11/15/2016;114;CiBy 2000;83;6978
m/1038978-babe;The Babe;PG;DRAMA;Arthur Hiller;4/17/1992;05/07/2015;115;MCA Universal Home Video;37;7355
m/1038990-cutting_edge;The Cutting Edge;PG;COMEDY;Paul Michael Glaser;01/01/1992;8/27/2015;101;MGM Home Entertainment;76;43281
m/1039071-gladiator;Gladiator;R;ACTION & ADVENTURE;Rowdy Herrington;;4/16/2012;102;Sony Pictures Home Entertainment;68;9794
m/1039132-kid_galahad;Kid Galahad;NR;DRAMA;Michael Curtiz;5/29/1937;11/21/2016;101;Warner Home Video;68;395
m/1039270-deep_cover;Deep Cover;R;ACTION & ADVENTURE;Bill Duke;4/15/1992;4/27/2016;108;WARNER BROTHERS PICTURES;77;8512
m/1039460-all_i_want_for_christmas;All I Want for Christmas;G;COMEDY;Robert H. Lieberman;11/08/1991;12/26/2016;92;Paramount Home Video;59;9725
m/1039511-class_act;Class Act;PG-13;COMEDY;Randall Miller;06/01/1992;06/07/2016;98;Warner Home Video;72;6068
m/1039515-edward_ii;Edward II;R;DRAMA;Derek Jarman;3/20/1992;06/12/2018;91;BBC;75;1349
m/1039575-1039575-midnight_clear;A Midnight Clear;R;ACTION & ADVENTURE;Keith Gordon;4/24/1992;5/22/2017;107;Sony Pictures Home Entertainment;79;3707
m/1039796-boomerang;Boomerang;R;COMEDY;Reginald Hudlin;07/01/1992;08/01/2013;118;Paramount Pictures;59;35918
m/1040198-rapid_fire;Rapid Fire;R;ACTION & ADVENTURE;Dwight H. Little, Dwight Little;8/21/1992;11/25/2015;95;Twentieth Century Fox Home Entertainment;55;10301
m/1040204-live_wire;Live Wire;R;ACTION & ADVENTURE;Christian Duguay;09/03/1992;01/01/2012;85;WARNER BROTHERS PICTURES;30;2015
m/1040322-of_mice_and_men;Of Mice and Men;PG-13;DRAMA;Gary Sinise;10/02/1992;9/13/2015;110;Metro-Goldwyn-Mayer Pictures;82;47865
m/1040324-body_parts;Body Parts;R;HORROR;Eric Red;08/02/1991;01/01/2017;88;Paramount Home Video;33;7005
m/1040378-cool_world;Cool World;PG-13;ACTION & ADVENTURE;Ralph Bakshi;07/10/1992;08/10/2016;102;Paramount Home Video;31;54819
m/1040379-singles;Singles;PG-13;COMEDY;Cameron Crowe;9/18/1992;1/15/2008;99;Warner Home Video;72;21724
m/1040398-naked_city;The Naked City;NR;DRAMA;Jules Dassin;03/04/1948;2/27/2017;96;Universal Pictures;80;3266
m/1040442-conquest_of_space;Conquest of Space;NR;SCIENCE FICTION & FANTASY;Byron Haskin;4/20/1955;3/24/2016;80;Paramount Pictures;26;706
m/1040484-wind;Wind;PG-13;ACTION & ADVENTURE;Carroll Ballard;01/01/1992;4/16/2012;125;Sony Pictures Home Entertainment;82;2954
m/1040678-last_of_the_mohicans;The Last of the Mohicans;R;ACTION & ADVENTURE;Michael Mann;9/25/1992;07/01/2012;114;Twentieth Century Fox Home Entertainment;88;207424
m/1040798-husbands_and_wives;Husbands and Wives;R;COMEDY;Woody Allen;10/18/1992;4/16/2012;93;Sony Pictures Home Entertainment;87;14161
m/1040893-hero;Hero;PG-13;COMEDY;Stephen Frears;10/02/1992;4/16/2012;116;Columbia Pictures;50;16898
m/1041055-ned_kelly;Ned Kelly (Ned Kelly, Outlaw);PG;ACTION & ADVENTURE;Tony Richardson;10/07/1970;3/20/2017;101;United Artists;26;1144
m/1041070-hallelujah;Hallelujah;NR;DRAMA;King Vidor;8/20/1929;5/23/2016;106;WARNER BROTHERS PICTURES;55;897
m/1041082-sea_wolf;The Sea Wolf;PG-13;ACTION & ADVENTURE;Michael Curtiz;01/01/1941;4/16/2012;90;Warner Bros. Pictures;76;247
m/1041862-forever_young;Forever Young;PG;DRAMA;Steve Miner;12/16/1992;10/01/2010;102;Warner Home Video;53;59713
m/1041870-matinee;Matinee;PG;COMEDY;Joe Dante;06/01/1992;4/19/2016;99;Universal Pictures;62;7011
m/1041911-unforgiven;Unforgiven;R;DRAMA;Clint Eastwood;08/03/1992;8/15/2008;130;Warner Bros. Pictures;93;122729
m/1042059-leap_of_faith;Leap of Faith;PG-13;COMEDY;Richard Pearce;12/18/1992;08/10/2016;108;Paramount Home Video;45;10923
m/1042135-malcolm_x;Malcolm X;PG-13;DRAMA;Spike Lee;11/18/1992;1/25/2011;201;Warner Bros.;91;56970
m/1042161-love_on_the_run;Love on the Run;NR;COMEDY;W.S. Van Dyke;11/20/1936;12/03/2013;80;Unknown;61;275
m/1042193-scent_of_a_woman;Scent of a Woman;R;DRAMA;Martin Brest;12/23/1992;05/07/2015;157;Universal Pictures;92;119250
m/1042212-nowhere_to_run;Nowhere to Run;R;ACTION & ADVENTURE;Robert Harmon;01/01/1993;4/16/2012;95;Sony Pictures Home Entertainment;32;20711
m/1042281-sniper;Sniper;R;ACTION & ADVENTURE;Luis Llosa;06/01/1993;4/16/2012;99;Sony Pictures Home Entertainment;55;20720
m/1042416-crush;The Crush;R;DRAMA;Alan Shapiro;04/02/1993;08/10/2016;89;Warner Home Video;41;20272
m/1042466-boiling_point;Boiling Point;R;ACTION & ADVENTURE;James B. Harris;4/16/1993;01/01/2008;93;Warner Home Video;21;10271
m/1042491-indian_summer;Indian Summer;PG-13;COMEDY;Mike Binder;4/23/1993;08/10/2016;98;Buena Vista;65;6815
m/1042538-alive;Alive;R;ACTION & ADVENTURE;Frank Marshall;1/15/1993;2/29/2016;127;Buena Vista;68;46646
m/1042629-point_of_no_return;Point of No Return (The Assassin);R;ACTION & ADVENTURE;John Badham;3/19/1993;10/10/2008;103;Warner Home Video;50;30177
m/1043331-born_yesterday;Born Yesterday;PG;COMEDY;Luis Mandoki;3/26/1993;08/10/2016;101;Buena Vista;27;5986
m/1043378-stalker;Stalker;NR;ACTION & ADVENTURE;Andrei Tarkovsky;08/01/1979;7/18/2017;163;Zweites Deutsches Fernsehen;93;25338
m/1043923-browning_version;The Browning Version;NR;DRAMA;Anthony Asquith;3/13/1951;3/23/2017;90;Criterion Collection;95;742
m/1043958-posse;Posse;R;ACTION & ADVENTURE;Mario Van Peebles;5/14/1993;10/01/2016;109;PolyGram Video;48;6801
m/1043960-made_in_america;Made in America;PG-13;COMEDY;Richard Benjamin;5/28/1993;07/01/2015;110;Phase 4 Films;30;42394
m/1044214-cliffhanger;Cliffhanger;R;ACTION & ADVENTURE;Renny Harlin;5/28/1993;05/08/2015;112;TriStar Pictures;52;182909
m/1044391-frankenstein;Frankenstein;NR;DRAMA;David Wickes;12/29/1992;03/11/2017;117;;47;104
m/1044522-firm;The Firm;R;DRAMA;Sydney Pollack;06/01/1993;08/01/2013;154;Paramount Pictures;64;67961
m/1044836-black_scorpion;The Black Scorpion;NR;HORROR;Edward Ludwig;10/11/1957;11/01/2015;88;WARNER BROTHERS PICTURES;33;1233
m/1044925-lodger;The Lodger: A Story of the London Fog;NR;DRAMA;Alfred Hitchcock;06/10/1928;5/22/2017;91;Video Yesteryear;76;4633
m/1045171-equinox;Equinox;R;DRAMA;Alan Rudolph;06/01/1992;03/02/2017;110;Sony Pictures Home Entertainment;42;1320
m/1045328-gypsy;Gypsy;NR;COMEDY;Emile Ardolino;;3/23/2017;150;Cabin Fever Entertainment;76;4576
m/1045334-wide_sargasso_sea;Wide Sargasso Sea;R;DRAMA;John Duigan;4/16/1993;10/20/2016;96;Sony Pictures Home Entertainment;37;1116
m/1045518-secret_garden;The Secret Garden;G;DRAMA;Agnieszka Holland;3/18/1993;01/01/2011;101;WARNER BROTHERS PICTURES;80;195111
m/1045568-strictly_ballroom;Strictly Ballroom;PG;COMEDY;Baz Luhrmann;02/01/1992;5/27/2015;92;Miramax;87;43325
m/1045706-calendar_girl;Calendar Girl;PG-13;COMEDY;John Whitesell;;01/02/2014;90;Sony Pictures Home Entertainment;31;5261
m/1045833-savage_messiah;Savage Messiah;R;DRAMA;Ken Russell;09/01/1972;2/17/2016;100;;79;354
m/1045933-deadfall;Deadfall;R;DRAMA;Christopher Coppola;7/15/1993;12/30/2016;99;Trimark;25;1364
m/1045992-much_ado_about_nothing;Much Ado About Nothing;PG-13;COMEDY;Kenneth Branagh;05/07/1993;02/01/2016;110;Screenvision;86;51472
m/1046035-airborne;Airborne;PG;ACTION & ADVENTURE;Rob Bowman;;5/26/2016;91;Warner Bros.;59;8543
m/1046038-gettysburg;Gettysburg;PG;DRAMA;Ronald F. Maxwell;10/08/1993;01/01/2009;254;Turner Home Entertainment;89;29365
m/1046049-fatal_instinct;Fatal Instinct;PG-13;COMEDY;Carl Reiner;10/29/1993;02/01/2017;88;MGM Home Entertainment;40;5619
m/1046060-high_noon;High Noon;PG;WESTERN;Fred Zinnemann;7/24/1952;08/10/2016;85;United Artists;89;25442
m/1046076-home_of_our_own;A Home of Our Own;PG;DRAMA;Tony Bill;01/01/1993;10/20/2016;102;PolyGram Video;73;4778
m/1046129-fugitive;The Fugitive;PG-13;ACTION & ADVENTURE;Andrew Davis;08/06/1993;05/08/2015;127;Warner Bros. Pictures;89;267812
m/1046151-fearless;Fearless;R;DRAMA;Peter Weir;01/01/1993;09/01/2008;121;Warner Bros. Pictures;80;12368
m/1046180-trauma;Trauma (Dario Argento's Trauma);R;HORROR;Dario Argento;03/12/1993;10/13/2019;105;Worldvision Home Video;41;4026
m/1046227-cool_runnings;Cool Runnings;PG;COMEDY;Jon Turteltaub;10/01/1993;12/13/2015;97;Disney;81;532977
m/1046655-skin_game;The Skin Game;NR;COMEDY;Alfred Hitchcock;6/20/1931;12/21/2014;87;Warner Home Video;17;345
m/1046723-man_who_loved_women;The Man Who Loved Women;R;COMEDY;Blake Edwards;12/16/1983;4/16/2012;110;Sony Pictures Home Entertainment;37;1591
m/1046724-impact;Impact;NR;DRAMA;Arthur Lubin;01/01/1949;08/11/2016;111;United Artists;54;700
m/1046771-into_the_west;Into the West;PG;ACTION & ADVENTURE;;01/01/1993;11/30/2016;102;Miramax;79;4348
m/1046772-three_musketeers;The Three Musketeers;PG;ACTION & ADVENTURE;Stephen Herek;11/12/1993;5/27/2016;105;Disney;62;169772
m/1046873-alice_in_wonderland;Alice in Wonderland;G;ACTION & ADVENTURE;Nick Willing;2/28/1999;1/25/2017;96;Artisan Entertainment;62;24497
m/1047550-scared_stiff;Scared Stiff;NR;COMEDY;George Marshall;;9/28/2016;108;Paramount Pictures;74;2512
m/1047928-gunmen;Gunmen;R;ACTION & ADVENTURE;Deran Sarafian;06/01/1993;4/14/2016;90;Live Home Video;35;2103
m/1047940-dangerous_game;Dangerous Game;R;DRAMA;Abel Ferrara;01/01/1993;01/04/2018;107;MGM Home Entertainment;45;2561
m/1047985-getaway;The Getaway;R;ACTION & ADVENTURE;Roger Donaldson;02/11/1994;06/01/2016;115;Universal;28;8800
m/1048301-angels_in_the_outfield;Angels in the Outfield;NR;COMEDY;Clarence Brown;10/17/1951;08/04/2008;102;MGM;63;9425
m/1048333-heaven_and_earth;Heaven & Earth;R;DRAMA;Oliver Stone;06/01/1994;05/08/2015;140;Warner Home Video;70;5512
m/1048445-snow_white_and_the_seven_dwarfs;Snow White and the Seven Dwarfs;G;SCIENCE FICTION & FANTASY;David Hand, William Cottrell, David D. Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen, Dorothy Ann Blank, Dick Richard, Walt Disney, Richard Creedon, Merrill de Maris, Webb Smith;12/21/1937;09/01/2016;80;Walt Disney Pictures;78;470351
m/1048585-sugar_hill;Sugar Hill;R;DRAMA;Leon Ichaso;2/25/1994;2/14/2016;123;20th Century Fox;69;6711
m/1049512-young_americans;The Young Americans;R;ACTION & ADVENTURE;Vernon Layton, Danny Cannon;10/08/1993;5/23/2016;104;Lionsgate;41;797
m/1049883-alice;Alice (Neco z Alenky);NR;HORROR;Jan Svankmajer;01/01/1988;4/17/2020;90;First Run Features;80;11937
m/1050388-last_man_on_earth;The Last Man on Earth;NR;DRAMA;Ubaldo Ragona, Sidney Salkow;03/08/1964;03/05/2013;86;MGM;69;11612
m/1051219-bad_girls;Bad Girls;R;ACTION & ADVENTURE;Jonathan Kaplan;4/22/1994;11/25/2015;99;Twentieth Century Fox Home Entertainment;40;50675
m/1052200-dream_lover;Dream Lover;R;DRAMA;Nicholas Kazan;01/01/1994;01/04/2018;103;PolyGram Video;40;928
m/1052529-black_beauty;Black Beauty;G;ACTION & ADVENTURE;Caroline Thompson;7/29/1994;01/01/2008;85;Live Home Video;75;74339
m/1052608-circus;The Circus;G;ACTION & ADVENTURE;Charles Chaplin;01/06/1928;5/22/2017;72;Allied Artists;94;6725
